Application_ID,Age,Gender,State,Residence_Type,Monthly_Income,Employment_Status,Education_Level,Family_Members,Disability_Status,Application_Date,Eligibility_Score,Application_Status,Subsidy_Amount,level,state_ut,schemeCategory,benefit_type,benefit_amount_per_year,min_age,max_age,income_limit,social_category,gender_target,course_level,application_mode,scheme_name,details,documents_required,tags
GOV-10459,18,Female,New York,Rural,1423.65,Private Sector,Tertiary,2,No,01-05-25,68,Rejected,0,Central,All India,Healthcare,Stipend,13000,24,38,300000,Any,Any,Diploma,Online+Offline,Gov Assistance Scheme - 489,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10460,45,Female,Illinois,Urban,1903.45,Unemployed,Secondary,3,Yes,04-06-25,47,Under Review,2500,Central,All India,Education & Learning,Scholarship,72000,11,77,300000,EWS,Male,PG,Offline,Gov Assistance Scheme - 628,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10461,78,Non-Binary,Illinois,Urban,3707.2,Public Sector,Tertiary,5,No,08-01-25,78,Under Review,2500,State,Illinois,Social Welfare,Grant,96000,12,66,300000,SC,Female,PhD,Online,Gov Assistance Scheme - 458,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10462,64,Male,New York,Urban,4408.44,Self-Employed,Secondary,7,Yes,04-10-25,70,Pending,0,State,New York,Agriculture,Subsidy,41000,13,48,500000,SC,Male,School,Online+Offline,Gov Assistance Scheme - 176,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10463,70,Male,Florida,Rural,4154.43,Public Sector,,8,Yes,27-12-25,60,Rejected,0,State,Florida,Housing,Direct Benefit Transfer,24000,8,54,200000,OBC,Non-Binary,Diploma,Offline,Gov Assistance Scheme - 130,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10464,51,Male,Texas,Rural,2806.55,Private Sector,Primary,5,Yes,07-04-25,27,Under Review,0,Central,All India,Agriculture,Direct Benefit Transfer,87000,10,38,800000,SC,Female,Vocational,Offline,Gov Assistance Scheme - 220,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10465,71,Female,California,Rural,3344.56,Unemployed,,2,No,30-09-25,20,Under Review,0,State,California,Healthcare,Direct Benefit Transfer,71000,6,53,800000,EWS,Female,School,Online,Gov Assistance Scheme - 936,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10466,78,Non-Binary,New York,Rural,2372.15,Self-Employed,Primary,4,Yes,07-06-25,4,Pending,2500,State,New York,Social Welfare,Direct Benefit Transfer,71000,19,50,800000,Any,Any,PG,Online,Gov Assistance Scheme - 151,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10467,84,Male,Texas,Urban,2622.85,Student,,8,Yes,29-01-25,62,Pending,0,State,Texas,Agriculture,Direct Benefit Transfer,100000,6,33,800000,SC,Any,UG,Online,Gov Assistance Scheme - 320,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10468,73,Non-Binary,Illinois,Urban,3932.37,Unemployed,Primary,6,Yes,07-03-25,37,Rejected,0,State,Illinois,Agriculture,Direct Benefit Transfer,82000,12,71,500000,SC,Non-Binary,PG,Offline,Gov Assistance Scheme - 196,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10469,50,Female,California,Urban,762,Public Sector,Primary,1,No,27-09-25,59,Approved,500,State,California,Housing,Grant,96000,18,47,500000,EWS,Male,Higher Secondary,Offline,Gov Assistance Scheme - 750,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10470,20,Female,Illinois,Rural,4999.24,Unemployed,,4,No,11-08-25,90,Under Review,1200,State,Illinois,Housing,Grant,56000,21,51,200000,EWS,Non-Binary,PhD,Online,Gov Assistance Scheme - 285,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10471,81,Female,Texas,Urban,1755.89,Public Sector,,3,Yes,27-01-25,91,Approved,500,State,Texas,Housing,Stipend,28000,0,54,500000,ST,Any,Diploma,Online,Gov Assistance Scheme - 387,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10472,34,Non-Binary,California,Urban,3591.15,Public Sector,Secondary,5,Yes,02-11-25,34,Rejected,1200,Central,All India,Healthcare,Stipend,96000,24,72,800000,Any,Female,Vocational,Online,Gov Assistance Scheme - 708,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10473,37,Female,Florida,Rural,261.61,Self-Employed,Tertiary,5,Yes,16-07-25,27,Approved,0,State,Florida,Agriculture,Direct Benefit Transfer,87000,0,36,500000,EWS,Female,PG,Online+Offline,Gov Assistance Scheme - 399,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10474,47,Female,New York,Rural,159.87,Public Sector,,7,Yes,09-10-25,1,Under Review,0,Central,All India,Housing,Subsidy,39000,24,58,200000,OBC,Female,PhD,Online,Gov Assistance Scheme - 656,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10475,81,Non-Binary,New York,Urban,473.09,Student,Secondary,7,No,08-03-25,81,Rejected,2500,Central,All India,Skill Development,Grant,38000,13,36,200000,General,Any,PhD,Offline,Gov Assistance Scheme - 561,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10476,46,Non-Binary,New York,Rural,3019.19,Self-Employed,Primary,7,No,23-01-25,94,Rejected,1200,State,New York,Housing,Direct Benefit Transfer,95000,19,73,500000,OBC,Non-Binary,Vocational,Online,Gov Assistance Scheme - 177,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10477,35,Male,California,Urban,711.74,Self-Employed,Primary,1,No,03-02-25,23,Under Review,0,State,California,Social Welfare,Grant,75000,12,68,500000,EWS,Male,Vocational,Online+Offline,Gov Assistance Scheme - 629,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10478,70,Male,Texas,Rural,1147.43,Public Sector,,5,No,11-11-25,99,Pending,500,State,Texas,Housing,Subsidy,69000,24,51,300000,General,Non-Binary,UG,Offline,Gov Assistance Scheme - 960,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10479,23,Male,New York,Urban,1351.44,Public Sector,,1,Yes,01-04-25,52,Rejected,0,State,New York,Agriculture,Grant,85000,21,39,500000,OBC,Non-Binary,UG,Offline,Gov Assistance Scheme - 674,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10480,79,Female,California,Rural,4937.21,Student,Tertiary,5,No,16-12-25,8,Approved,500,State,California,Agriculture,Scholarship,43000,21,47,500000,EWS,Any,Vocational,Online,Gov Assistance Scheme - 898,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10481,85,Female,New York,Urban,2533.02,Self-Employed,Tertiary,4,No,28-02-25,9,Pending,0,Central,All India,Housing,Stipend,78000,8,48,500000,ST,Any,Higher Secondary,Online+Offline,Gov Assistance Scheme - 179,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10482,46,Male,California,Rural,4805.57,Unemployed,Primary,4,Yes,02-03-25,92,Under Review,0,State,California,Social Welfare,Direct Benefit Transfer,49000,7,39,800000,General,Male,PG,Online+Offline,Gov Assistance Scheme - 758,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10483,77,Male,New York,Urban,1896.07,Self-Employed,Tertiary,1,No,22-05-25,73,Rejected,500,State,New York,Healthcare,Scholarship,92000,16,57,200000,Any,Male,School,Offline,Gov Assistance Scheme - 431,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10484,51,Female,Illinois,Urban,4940.63,Unemployed,,2,No,21-06-25,99,Pending,0,State,Illinois,Skill Development,Scholarship,81000,5,58,300000,OBC,Male,Vocational,Online+Offline,Gov Assistance Scheme - 669,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10485,64,Non-Binary,New York,Rural,1024.03,Private Sector,Secondary,1,Yes,26-09-25,67,Pending,0,Central,All India,Social Welfare,Direct Benefit Transfer,16000,12,45,300000,EWS,Non-Binary,Higher Secondary,Offline,Gov Assistance Scheme - 858,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10486,69,Male,New York,Urban,3233.69,Public Sector,,8,No,23-06-25,15,Pending,1200,Central,All India,Education & Learning,Stipend,71000,19,61,800000,SC,Male,UG,Online,Gov Assistance Scheme - 539,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10487,58,Male,New York,Rural,2468.95,Private Sector,Primary,5,No,20-06-25,7,Rejected,1200,State,New York,Agriculture,Scholarship,91000,18,56,800000,Any,Non-Binary,Diploma,Online,Gov Assistance Scheme - 163,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10488,31,Female,Texas,Rural,2267.63,Private Sector,Primary,1,No,22-05-25,29,Approved,1200,Central,All India,Social Welfare,Subsidy,48000,1,37,500000,General,Any,PG,Offline,Gov Assistance Scheme - 773,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10489,43,Non-Binary,Illinois,Rural,1864.94,Unemployed,Tertiary,3,Yes,11-10-25,78,Under Review,500,State,Illinois,Skill Development,Stipend,58000,2,44,300000,EWS,Any,Diploma,Online,Gov Assistance Scheme - 539,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10490,72,Non-Binary,Texas,Rural,4628.17,Unemployed,Primary,1,No,02-05-25,13,Under Review,500,Central,All India,Education & Learning,Subsidy,22000,23,75,800000,SC,Female,PG,Online,Gov Assistance Scheme - 857,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10491,57,Male,Florida,Urban,3691.99,Unemployed,Primary,5,Yes,23-06-25,17,Rejected,0,State,Florida,Agriculture,Scholarship,12000,4,56,800000,SC,Any,Diploma,Offline,Gov Assistance Scheme - 210,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10492,64,Male,Texas,Urban,2236.88,Unemployed,Tertiary,8,Yes,30-10-25,85,Rejected,0,State,Texas,Healthcare,Subsidy,55000,22,57,500000,Any,Any,Diploma,Online+Offline,Gov Assistance Scheme - 993,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10493,63,Non-Binary,Illinois,Rural,2851.49,Unemployed,,8,Yes,20-10-25,13,Under Review,2500,Central,All India,Social Welfare,Grant,78000,14,38,500000,OBC,Non-Binary,Vocational,Offline,Gov Assistance Scheme - 238,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10494,82,Male,California,Urban,3982.65,Public Sector,Tertiary,1,Yes,20-05-25,75,Rejected,1200,Central,All India,Housing,Direct Benefit Transfer,63000,25,55,500000,EWS,Male,Diploma,Online,Gov Assistance Scheme - 386,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10495,26,Non-Binary,Illinois,Urban,3890.22,Self-Employed,Secondary,4,No,19-06-25,84,Rejected,0,Central,All India,Skill Development,Scholarship,16000,21,75,800000,OBC,Female,UG,Online+Offline,Gov Assistance Scheme - 574,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10496,77,Male,Illinois,Rural,4423.93,Private Sector,Secondary,4,No,14-08-25,65,Rejected,0,Central,All India,Agriculture,Scholarship,48000,24,47,500000,OBC,Non-Binary,PhD,Online+Offline,Gov Assistance Scheme - 418,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10497,79,Non-Binary,New York,Rural,4913.35,Student,Tertiary,7,No,24-08-25,14,Rejected,0,Central,All India,Skill Development,Stipend,30000,20,49,500000,SC,Non-Binary,PhD,Online,Gov Assistance Scheme - 950,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10498,34,Female,California,Urban,2046.55,Student,Tertiary,8,Yes,16-09-25,92,Pending,0,Central,All India,Healthcare,Direct Benefit Transfer,62000,11,61,500000,EWS,Female,School,Online+Offline,Gov Assistance Scheme - 234,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10499,58,Female,Illinois,Urban,1377.84,Private Sector,,4,No,08-07-25,76,Under Review,0,Central,All India,Skill Development,Direct Benefit Transfer,93000,16,35,300000,OBC,Male,Higher Secondary,Online+Offline,Gov Assistance Scheme - 851,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10500,72,Male,California,Rural,2382.02,Public Sector,Primary,6,No,06-07-25,32,Rejected,0,Central,All India,Agriculture,Subsidy,95000,11,35,500000,SC,Male,Vocational,Online,Gov Assistance Scheme - 801,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10501,66,Female,Florida,Urban,1954.24,Self-Employed,Primary,3,No,26-05-25,72,Rejected,0,Central,All India,Skill Development,Grant,27000,1,79,500000,SC,Male,Higher Secondary,Online+Offline,Gov Assistance Scheme - 692,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10502,68,Non-Binary,Florida,Urban,470.33,Private Sector,Primary,8,Yes,11-06-25,17,Pending,500,State,Florida,Healthcare,Direct Benefit Transfer,41000,4,33,300000,ST,Female,PG,Online,Gov Assistance Scheme - 391,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10503,32,Male,Illinois,Urban,3590.99,Unemployed,Primary,8,No,19-12-25,97,Under Review,2500,Central,All India,Healthcare,Grant,8000,8,35,200000,Any,Non-Binary,Vocational,Offline,Gov Assistance Scheme - 412,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10504,23,Female,California,Rural,3108.25,Self-Employed,Tertiary,2,No,18-03-25,68,Pending,2500,Central,All India,Agriculture,Scholarship,19000,23,56,500000,OBC,Female,PhD,Offline,Gov Assistance Scheme - 381,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10505,40,Non-Binary,New York,Urban,3707.53,Private Sector,Primary,7,No,04-07-25,18,Pending,500,State,New York,Agriculture,Grant,95000,3,73,300000,ST,Non-Binary,UG,Online+Offline,Gov Assistance Scheme - 809,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10506,70,Male,California,Urban,3741.09,Private Sector,Tertiary,8,No,31-10-25,71,Pending,0,State,California,Social Welfare,Subsidy,65000,22,63,300000,General,Non-Binary,PG,Offline,Gov Assistance Scheme - 388,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10507,36,Female,Texas,Rural,2318.01,Public Sector,Tertiary,6,Yes,31-03-25,33,Under Review,2500,State,Texas,Agriculture,Grant,58000,2,51,200000,SC,Female,PhD,Online+Offline,Gov Assistance Scheme - 413,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10508,81,Non-Binary,Texas,Urban,1933.69,Public Sector,Primary,2,No,01-10-25,70,Under Review,0,State,Texas,Agriculture,Subsidy,21000,1,76,500000,OBC,Any,UG,Online+Offline,Gov Assistance Scheme - 365,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10509,77,Male,Illinois,Rural,3183.21,Unemployed,,8,Yes,18-06-25,59,Pending,0,State,Illinois,Education & Learning,Subsidy,25000,19,72,200000,EWS,Non-Binary,PhD,Online,Gov Assistance Scheme - 626,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10510,29,Male,California,Rural,598.32,Public Sector,,5,No,04-02-25,81,Rejected,0,State,California,Social Welfare,Grant,69000,11,70,800000,Any,Non-Binary,School,Online,Gov Assistance Scheme - 447,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10511,50,Female,Texas,Rural,1424.47,Student,Tertiary,4,Yes,29-01-25,22,Under Review,500,State,Texas,Healthcare,Grant,34000,19,59,200000,EWS,Any,Vocational,Offline,Gov Assistance Scheme - 989,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10512,60,Male,Texas,Rural,3852.03,Self-Employed,Primary,8,No,21-02-25,100,Pending,1200,State,Texas,Agriculture,Stipend,17000,12,35,500000,SC,Any,Diploma,Online,Gov Assistance Scheme - 558,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10513,38,Male,California,Rural,738.81,Student,Primary,5,Yes,08-06-25,73,Approved,2500,State,California,Education & Learning,Subsidy,89000,1,56,300000,OBC,Male,UG,Online,Gov Assistance Scheme - 979,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10514,43,Non-Binary,California,Urban,1816.93,Self-Employed,Tertiary,1,No,24-08-25,62,Approved,2500,Central,All India,Healthcare,Direct Benefit Transfer,20000,12,62,200000,General,Male,Higher Secondary,Online,Gov Assistance Scheme - 702,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10515,23,Non-Binary,Florida,Urban,3219.32,Self-Employed,Secondary,5,No,24-09-25,80,Pending,1200,Central,All India,Social Welfare,Subsidy,66000,1,47,200000,SC,Female,PG,Offline,Gov Assistance Scheme - 770,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10516,36,Male,California,Rural,150.29,Public Sector,,6,Yes,23-11-25,34,Approved,500,State,California,Healthcare,Stipend,9000,17,46,300000,EWS,Any,Higher Secondary,Online+Offline,Gov Assistance Scheme - 514,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10517,38,Non-Binary,New York,Urban,3189.21,Unemployed,Secondary,6,Yes,21-04-25,97,Under Review,1200,Central,All India,Education & Learning,Grant,10000,16,31,800000,SC,Non-Binary,Diploma,Online,Gov Assistance Scheme - 461,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10518,59,Female,New York,Urban,1048.19,Unemployed,Primary,6,Yes,13-04-25,58,Rejected,500,State,New York,Healthcare,Stipend,91000,19,77,300000,ST,Any,Diploma,Online+Offline,Gov Assistance Scheme - 904,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10519,72,Female,Illinois,Urban,3836.68,Private Sector,Secondary,7,Yes,02-05-25,34,Pending,0,Central,All India,Skill Development,Subsidy,7000,2,57,200000,EWS,Male,School,Offline,Gov Assistance Scheme - 224,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10520,45,Female,Florida,Urban,36.55,Private Sector,Secondary,4,No,03-09-25,63,Pending,2500,State,Florida,Social Welfare,Direct Benefit Transfer,84000,22,77,500000,General,Male,Higher Secondary,Online,Gov Assistance Scheme - 853,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10521,42,Non-Binary,Florida,Rural,3150.85,Public Sector,Tertiary,2,No,02-02-25,55,Under Review,2500,Central,All India,Housing,Subsidy,60000,4,44,200000,Any,Any,Higher Secondary,Offline,Gov Assistance Scheme - 440,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10522,75,Female,Illinois,Urban,4429.31,Self-Employed,Primary,7,Yes,15-01-25,4,Under Review,500,Central,All India,Agriculture,Scholarship,6000,2,49,500000,SC,Male,Higher Secondary,Online+Offline,Gov Assistance Scheme - 265,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10523,51,Female,Florida,Urban,785.91,Student,,5,No,11-01-25,20,Pending,1200,State,Florida,Healthcare,Subsidy,91000,4,78,800000,EWS,Male,Vocational,Offline,Gov Assistance Scheme - 161,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10524,58,Female,California,Urban,4898,Student,Secondary,8,Yes,13-06-25,17,Pending,500,Central,All India,Agriculture,Grant,76000,19,30,500000,OBC,Non-Binary,Higher Secondary,Online+Offline,Gov Assistance Scheme - 172,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10525,74,Non-Binary,Texas,Urban,1807.84,Private Sector,Secondary,2,Yes,30-10-25,80,Under Review,1200,Central,All India,Skill Development,Direct Benefit Transfer,38000,22,40,300000,Any,Female,Higher Secondary,Online+Offline,Gov Assistance Scheme - 808,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10526,41,Non-Binary,Illinois,Urban,3596.65,Private Sector,,1,No,17-02-25,72,Rejected,0,State,Illinois,Agriculture,Subsidy,79000,1,70,500000,General,Female,PG,Offline,Gov Assistance Scheme - 396,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10527,42,Female,Illinois,Urban,3752.51,Self-Employed,Primary,7,No,25-06-25,24,Rejected,500,Central,All India,Healthcare,Grant,71000,20,65,500000,SC,Male,School,Offline,Gov Assistance Scheme - 927,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10528,36,Male,Texas,Urban,3805.02,Public Sector,Tertiary,7,Yes,02-09-25,90,Under Review,0,Central,All India,Agriculture,Stipend,75000,17,63,800000,Any,Any,School,Online,Gov Assistance Scheme - 609,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10529,69,Non-Binary,California,Rural,2398.92,Unemployed,Primary,8,No,03-01-25,84,Under Review,0,Central,All India,Agriculture,Direct Benefit Transfer,14000,10,37,800000,EWS,Non-Binary,School,Online+Offline,Gov Assistance Scheme - 709,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10530,37,Non-Binary,New York,Rural,413.57,Public Sector,Primary,4,No,02-05-25,75,Pending,500,State,New York,Social Welfare,Scholarship,56000,24,49,500000,General,Non-Binary,Vocational,Offline,Gov Assistance Scheme - 134,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10531,47,Non-Binary,Florida,Rural,4310.22,Unemployed,Primary,3,No,03-01-25,44,Approved,0,Central,All India,Healthcare,Stipend,33000,9,38,200000,ST,Non-Binary,PG,Online+Offline,Gov Assistance Scheme - 890,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10532,70,Female,New York,Urban,4918.92,Unemployed,Tertiary,5,Yes,01-06-25,15,Approved,2500,Central,All India,Skill Development,Stipend,46000,8,64,200000,General,Any,Vocational,Offline,Gov Assistance Scheme - 150,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10533,62,Male,Florida,Urban,1980.63,Self-Employed,,2,No,30-06-25,29,Pending,500,State,Florida,Education & Learning,Stipend,84000,7,71,500000,ST,Any,School,Offline,Gov Assistance Scheme - 293,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10534,42,Female,Texas,Rural,1736.41,Private Sector,Secondary,5,No,27-12-25,96,Approved,0,State,Texas,Social Welfare,Scholarship,46000,6,34,500000,Any,Non-Binary,PhD,Online,Gov Assistance Scheme - 193,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10535,24,Non-Binary,Florida,Rural,2367.54,Private Sector,Secondary,8,No,25-10-25,4,Approved,2500,Central,All India,Social Welfare,Direct Benefit Transfer,16000,9,70,300000,General,Non-Binary,School,Online+Offline,Gov Assistance Scheme - 254,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
