application_id,age,gender,state,residence_type,income,employment_status,education_level,family_members,disability_status,application_date,eligibility_score,application_status,subsidy_amount,level,state_ut,schemecategory,benefit_type,benefit_amount_per_year,min_age,max_age,income_limit,social_category,gender_target,course_level,application_mode,scheme_name,details,documents_required,tags,eligible
GOV-10360,30,Non-Binary,California,Rural,486.42,Unemployed,,7,Yes,14-11-25,83,Under Review,500,State,California,Social Welfare,Grant,77000,8,69,800000,OBC,Any,Diploma,Online,Gov Assistance Scheme - 670,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-10259,26,Non-Binary,Illinois,Urban,4728.74,Self-Employed,Tertiary,2,Yes,03-12-25,29,Under Review,0,Central,All India,Agriculture,Scholarship,56000,7,57,800000,Any,Male,PhD,Online,Gov Assistance Scheme - 976,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-10178,22,Non-Binary,New York,Rural,3824.54,Private Sector,Primary,3,Yes,01-10-25,74,Under Review,0,Central,All India,Skill Development,Direct Benefit Transfer,25000,14,45,500000,EWS,Non-Binary,Higher Secondary,Online+Offline,Gov Assistance Scheme - 887,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-10406,41,Non-Binary,Illinois,Urban,2457.58,Private Sector,,1,Yes,22-05-25,19,Under Review,0,State,Illinois,Social Welfare,Subsidy,87000,5,49,300000,SC,Non-Binary,Vocational,Online,Gov Assistance Scheme - 127,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-11286,29,Female,California,Urban,4523.33,Unemployed,,8,Yes,21-06-25,87,Approved,1200,State,California,Skill Development,Subsidy,16000,21,67,300000,ST,Any,UG,Online+Offline,Gov Assistance Scheme - 646,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-10098,27,Non-Binary,New York,Urban,2007.87,Student,,3,No,03-10-25,89,Pending,0,State,New York,Agriculture,Scholarship,100000,16,46,200000,OBC,Any,Vocational,Online,Gov Assistance Scheme - 429,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-10225,44,Male,New York,Urban,1724.77,Private Sector,Primary,5,Yes,07-09-25,95,Rejected,500,Central,All India,Education & Learning,Scholarship,65000,9,66,500000,EWS,Male,PhD,Offline,Gov Assistance Scheme - 620,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-11113,38,Non-Binary,Illinois,Rural,630.66,Unemployed,Secondary,6,Yes,03-04-25,24,Rejected,0,State,Illinois,Social Welfare,Grant,85000,17,45,300000,SC,Any,Diploma,Online,Gov Assistance Scheme - 122,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-10142,21,Female,Texas,Urban,144.34,Private Sector,Primary,8,Yes,13-12-25,94,Under Review,500,State,Texas,Social Welfare,Subsidy,71000,1,76,200000,EWS,Any,Diploma,Offline,Gov Assistance Scheme - 277,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-11274,62,Non-Binary,Texas,Urban,327.67,Self-Employed,Primary,1,Yes,08-11-25,60,Pending,500,State,Texas,Healthcare,Grant,47000,19,43,200000,General,Female,PhD,Offline,Gov Assistance Scheme - 841,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-11497,18,Non-Binary,Texas,Urban,4891.06,Private Sector,Tertiary,5,No,18-03-25,65,Approved,0,Central,All India,Skill Development,Direct Benefit Transfer,90000,11,65,300000,Any,Non-Binary,Vocational,Online,Gov Assistance Scheme - 777,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-11186,34,Male,New York,Rural,2732.35,Student,Tertiary,8,Yes,16-08-25,7,Approved,1200,State,New York,Housing,Grant,76000,23,40,300000,EWS,Any,Vocational,Offline,Gov Assistance Scheme - 619,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-11233,59,Female,Illinois,Rural,88.16,Unemployed,Primary,2,Yes,29-09-25,67,Under Review,0,State,Illinois,Housing,Scholarship,43000,25,78,300000,General,Any,School,Offline,Gov Assistance Scheme - 427,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-11217,32,Female,Illinois,Rural,1896.09,Student,Primary,5,No,26-08-25,5,Rejected,0,State,Illinois,Housing,Stipend,30000,14,72,200000,OBC,Male,PG,Offline,Gov Assistance Scheme - 888,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-11114,50,Male,California,Urban,470.08,Unemployed,Primary,5,No,25-03-25,54,Pending,0,State,California,Healthcare,Subsidy,16000,0,37,800000,OBC,Male,Higher Secondary,Offline,Gov Assistance Scheme - 340,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-11861,52,Male,Texas,Urban,3811.5,Student,Primary,7,Yes,17-08-25,67,Rejected,0,State,Texas,Agriculture,Grant,91000,20,70,500000,OBC,Any,Vocational,Offline,Gov Assistance Scheme - 828,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-10163,34,Female,New York,Urban,163.67,Self-Employed,Primary,8,No,22-07-25,22,Pending,1200,Central,All India,Skill Development,Grant,85000,16,56,300000,Any,Non-Binary,Diploma,Online+Offline,Gov Assistance Scheme - 298,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-11104,76,Female,Illinois,Rural,2195.31,Unemployed,Tertiary,6,Yes,06-11-25,6,Rejected,1200,State,Illinois,Social Welfare,Scholarship,11000,18,66,800000,SC,Any,Diploma,Online+Offline,Gov Assistance Scheme - 577,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-10777,74,Non-Binary,Florida,Urban,3806.49,Self-Employed,,4,No,22-11-25,73,Rejected,1200,State,Florida,Social Welfare,Scholarship,12000,15,70,800000,EWS,Male,PG,Offline,Gov Assistance Scheme - 620,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-11485,67,Non-Binary,Illinois,Urban,2007.43,Unemployed,Secondary,2,Yes,12-12-25,48,Approved,500,Central,All India,Agriculture,Scholarship,80000,24,39,200000,General,Female,PhD,Offline,Gov Assistance Scheme - 922,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-11222,39,Non-Binary,Texas,Rural,3958.51,Public Sector,Tertiary,1,Yes,19-05-25,87,Pending,2500,Central,All India,Skill Development,Stipend,22000,15,40,300000,ST,Male,School,Offline,Gov Assistance Scheme - 189,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-11833,68,Non-Binary,Texas,Rural,1408.48,Unemployed,Primary,1,No,01-01-26,32,Approved,0,State,Texas,Healthcare,Grant,55000,9,49,800000,ST,Any,PhD,Online+Offline,Gov Assistance Scheme - 983,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-11143,30,Male,Texas,Rural,4776.82,Unemployed,Tertiary,3,Yes,28-01-25,45,Rejected,0,State,Texas,Healthcare,Subsidy,64000,12,55,300000,ST,Any,Vocational,Online+Offline,Gov Assistance Scheme - 499,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-11959,26,Male,Illinois,Urban,1711.37,Unemployed,Primary,6,No,23-11-25,91,Under Review,1200,Central,All India,Housing,Grant,27000,13,30,800000,ST,Non-Binary,Higher Secondary,Online+Offline,Gov Assistance Scheme - 579,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-11307,68,Female,Texas,Rural,4485.12,Public Sector,Primary,8,Yes,23-07-25,10,Approved,2500,State,Texas,Skill Development,Subsidy,39000,5,70,800000,EWS,Female,PhD,Offline,Gov Assistance Scheme - 140,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-11141,21,Non-Binary,Texas,Rural,630.71,Self-Employed,Primary,7,No,21-02-25,99,Pending,0,State,Texas,Housing,Scholarship,10000,2,63,500000,Any,Male,PhD,Online,Gov Assistance Scheme - 645,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-11916,54,Female,Florida,Rural,98.45,Unemployed,Tertiary,2,No,31-01-25,71,Under Review,1200,State,Florida,Healthcare,Stipend,14000,21,35,500000,Any,Any,PhD,Online+Offline,Gov Assistance Scheme - 422,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-10186,19,Non-Binary,New York,Rural,391.2,Unemployed,Tertiary,5,Yes,21-08-25,60,Pending,2500,Central,All India,Skill Development,Scholarship,87000,18,34,500000,General,Any,Higher Secondary,Online,Gov Assistance Scheme - 647,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-10255,66,Non-Binary,Florida,Rural,4766.88,Private Sector,Primary,8,No,08-02-25,3,Rejected,500,State,Florida,Skill Development,Subsidy,23000,13,74,800000,SC,Female,UG,Online+Offline,Gov Assistance Scheme - 783,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-11498,71,Female,New York,Rural,1124.38,Public Sector,Primary,7,Yes,02-05-25,58,Rejected,0,State,New York,Education & Learning,Direct Benefit Transfer,71000,18,78,300000,OBC,Any,Higher Secondary,Online,Gov Assistance Scheme - 781,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-10325,63,Male,New York,Rural,4461.78,Public Sector,Primary,3,No,14-09-25,63,Pending,0,State,New York,Housing,Scholarship,44000,7,66,800000,General,Male,UG,Online,Gov Assistance Scheme - 231,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-11975,85,Non-Binary,California,Urban,2041.83,Public Sector,Secondary,3,No,04-07-25,57,Approved,2500,State,California,Healthcare,Grant,13000,23,38,300000,EWS,Non-Binary,UG,Offline,Gov Assistance Scheme - 493,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-11098,27,Non-Binary,Illinois,Rural,4524.88,Public Sector,Primary,3,No,16-05-25,16,Rejected,500,State,Illinois,Agriculture,Grant,79000,5,74,500000,OBC,Any,Diploma,Online,Gov Assistance Scheme - 328,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-10179,40,Non-Binary,Illinois,Rural,584.88,Self-Employed,Primary,5,No,02-01-25,23,Rejected,0,Central,All India,Healthcare,Subsidy,61000,11,67,800000,SC,Female,Diploma,Online+Offline,Gov Assistance Scheme - 814,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-10968,61,Non-Binary,New York,Rural,550.1,Public Sector,Tertiary,4,Yes,10-08-25,50,Rejected,1200,State,New York,Skill Development,Grant,40000,6,57,200000,General,Female,UG,Offline,Gov Assistance Scheme - 980,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-11713,51,Male,California,Urban,3393.81,Public Sector,Secondary,1,Yes,22-03-25,72,Pending,0,Central,All India,Healthcare,Grant,66000,0,75,500000,EWS,Male,PhD,Online+Offline,Gov Assistance Scheme - 300,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-10665,63,Male,Texas,Rural,105.56,Self-Employed,,7,Yes,05-12-25,68,Pending,2500,State,Texas,Housing,Stipend,6000,19,39,300000,Any,Female,Vocational,Online+Offline,Gov Assistance Scheme - 660,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-11699,80,Female,Illinois,Rural,1905.81,Self-Employed,,3,No,28-08-25,25,Under Review,500,Central,All India,Education & Learning,Direct Benefit Transfer,86000,22,72,500000,OBC,Male,Higher Secondary,Offline,Gov Assistance Scheme - 410,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-11603,62,Non-Binary,Texas,Urban,1722.17,Public Sector,Primary,5,Yes,22-03-25,80,Rejected,0,State,Texas,Social Welfare,Direct Benefit Transfer,94000,19,78,800000,SC,Male,UG,Offline,Gov Assistance Scheme - 648,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-11938,60,Non-Binary,Illinois,Rural,2558.64,Unemployed,Primary,1,No,10-07-25,6,Approved,1200,State,Illinois,Housing,Stipend,70000,15,55,800000,EWS,Male,Diploma,Online,Gov Assistance Scheme - 136,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-11247,25,Female,California,Rural,3066.54,Private Sector,Primary,5,Yes,27-06-25,57,Rejected,1200,Central,All India,Healthcare,Direct Benefit Transfer,25000,17,34,800000,General,Any,Higher Secondary,Online+Offline,Gov Assistance Scheme - 951,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-11259,41,Female,Texas,Urban,3566.97,Public Sector,,4,Yes,07-03-25,95,Pending,0,State,Texas,Education & Learning,Subsidy,44000,4,61,200000,OBC,Female,School,Online,Gov Assistance Scheme - 614,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-11119,25,Female,New York,Urban,2215.7,Self-Employed,Secondary,1,No,23-12-25,25,Under Review,0,State,New York,Agriculture,Subsidy,90000,22,48,500000,ST,Any,UG,Offline,Gov Assistance Scheme - 118,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-11212,71,Male,Texas,Urban,3353.88,Unemployed,Tertiary,4,Yes,16-12-25,33,Under Review,1200,Central,All India,Agriculture,Subsidy,24000,3,67,800000,EWS,Female,Vocational,Offline,Gov Assistance Scheme - 864,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-10061,73,Male,Illinois,Rural,3468.14,Public Sector,Secondary,7,Yes,28-09-25,45,Under Review,0,State,Illinois,Healthcare,Subsidy,69000,24,41,200000,General,Non-Binary,PhD,Online+Offline,Gov Assistance Scheme - 384,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-11327,61,Female,New York,Urban,3662.95,Student,Secondary,1,Yes,08-12-25,9,Pending,2500,Central,All India,Skill Development,Stipend,9000,25,76,300000,Any,Female,PG,Online+Offline,Gov Assistance Scheme - 363,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-10636,77,Non-Binary,Texas,Rural,494.87,Self-Employed,Tertiary,6,No,19-12-25,95,Rejected,2500,State,Texas,Agriculture,Grant,52000,12,44,800000,ST,Female,Diploma,Online,Gov Assistance Scheme - 267,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-11694,33,Female,Florida,Urban,2972.97,Self-Employed,Secondary,1,Yes,02-05-25,79,Pending,0,State,Florida,Healthcare,Grant,17000,9,75,800000,General,Any,Vocational,Offline,Gov Assistance Scheme - 904,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-10377,27,Female,California,Rural,1595.77,Self-Employed,Primary,2,No,25-03-25,59,Rejected,0,Central,All India,Healthcare,Subsidy,91000,0,47,200000,ST,Any,Higher Secondary,Online+Offline,Gov Assistance Scheme - 891,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-10421,74,Male,Texas,Urban,3068.67,Student,Primary,5,No,07-11-25,83,Pending,0,State,Texas,Skill Development,Scholarship,77000,8,40,800000,EWS,Female,UG,Offline,Gov Assistance Scheme - 814,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-11321,33,Non-Binary,California,Urban,3428.16,Self-Employed,,4,No,22-12-25,5,Under Review,0,Central,All India,Education & Learning,Grant,8000,15,62,300000,General,Any,Vocational,Online,Gov Assistance Scheme - 393,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-11288,77,Non-Binary,Texas,Rural,343.35,Student,Primary,1,No,05-08-25,85,Pending,0,State,Texas,Social Welfare,Scholarship,12000,0,67,800000,EWS,Female,UG,Offline,Gov Assistance Scheme - 717,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-11380,25,Non-Binary,New York,Rural,1177.78,Public Sector,,5,Yes,27-01-25,20,Under Review,0,State,New York,Education & Learning,Stipend,33000,14,30,800000,Any,Non-Binary,UG,Offline,Gov Assistance Scheme - 868,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-11017,67,Female,Illinois,Rural,2017.97,Self-Employed,,1,No,27-05-25,25,Pending,0,State,Illinois,Education & Learning,Scholarship,69000,16,79,300000,Any,Female,Higher Secondary,Online+Offline,Gov Assistance Scheme - 501,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-11519,26,Female,Illinois,Rural,3870.13,Private Sector,Tertiary,2,No,14-05-25,81,Approved,0,Central,All India,Healthcare,Grant,42000,3,80,800000,EWS,Any,PhD,Online+Offline,Gov Assistance Scheme - 526,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-11155,24,Female,New York,Urban,1964.49,Public Sector,Tertiary,6,No,18-09-25,95,Approved,0,Central,All India,Healthcare,Stipend,12000,4,70,800000,SC,Female,Higher Secondary,Offline,Gov Assistance Scheme - 764,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-11103,33,Non-Binary,Florida,Rural,374.08,Private Sector,Secondary,3,No,24-03-25,65,Under Review,2500,State,Florida,Education & Learning,Subsidy,75000,10,36,500000,ST,Any,UG,Online+Offline,Gov Assistance Scheme - 650,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-10967,65,Male,Florida,Urban,1192.53,Public Sector,Tertiary,3,No,18-04-25,98,Pending,500,State,Florida,Education & Learning,Scholarship,68000,5,66,500000,ST,Female,PhD,Online,Gov Assistance Scheme - 181,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-11110,69,Non-Binary,New York,Urban,4876.93,Self-Employed,,6,Yes,27-12-25,35,Under Review,500,State,New York,Skill Development,Grant,92000,0,30,200000,OBC,Non-Binary,Higher Secondary,Offline,Gov Assistance Scheme - 862,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-10311,45,Female,Illinois,Rural,672.31,Public Sector,Primary,4,Yes,10-11-25,99,Under Review,1200,Central,All India,Education & Learning,Direct Benefit Transfer,43000,2,34,500000,EWS,Female,UG,Online+Offline,Gov Assistance Scheme - 512,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-11824,54,Non-Binary,Florida,Rural,1694.77,Self-Employed,Primary,5,No,05-08-25,64,Rejected,0,State,Florida,Skill Development,Grant,94000,21,61,300000,ST,Any,UG,Offline,Gov Assistance Scheme - 151,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-11536,58,Non-Binary,Florida,Urban,1688.1,Public Sector,,8,Yes,26-09-25,34,Approved,0,State,Florida,Social Welfare,Direct Benefit Transfer,65000,24,46,300000,SC,Male,PG,Online+Offline,Gov Assistance Scheme - 847,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-11573,32,Female,New York,Rural,4721.08,Public Sector,Tertiary,8,No,22-04-25,28,Approved,1200,State,New York,Agriculture,Stipend,70000,12,75,300000,SC,Any,PG,Online+Offline,Gov Assistance Scheme - 837,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-11117,46,Male,Illinois,Rural,1974.88,Unemployed,,8,No,27-11-25,60,Under Review,0,Central,All India,Agriculture,Grant,52000,5,47,500000,OBC,Male,Diploma,Online+Offline,Gov Assistance Scheme - 255,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-11101,63,Male,New York,Urban,1020.45,Private Sector,Secondary,6,No,09-10-25,51,Rejected,2500,Central,All India,Skill Development,Stipend,99000,10,56,800000,EWS,Any,Higher Secondary,Online+Offline,Gov Assistance Scheme - 186,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-10477,35,Male,California,Urban,711.74,Self-Employed,Primary,1,No,03-02-25,23,Under Review,0,State,California,Social Welfare,Grant,75000,12,68,500000,EWS,Male,Vocational,Online+Offline,Gov Assistance Scheme - 629,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-11472,41,Non-Binary,California,Urban,3109.31,Private Sector,Primary,7,No,05-07-25,98,Under Review,0,State,California,Skill Development,Stipend,49000,5,51,800000,ST,Any,School,Offline,Gov Assistance Scheme - 355,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-11507,25,Female,Florida,Rural,2874.77,Student,Primary,2,No,21-07-25,10,Rejected,0,State,Florida,Agriculture,Scholarship,54000,25,39,500000,OBC,Any,School,Online+Offline,Gov Assistance Scheme - 527,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-11134,39,Female,California,Urban,4468.55,Private Sector,Primary,4,No,21-05-25,54,Under Review,2500,State,California,Healthcare,Grant,85000,0,43,800000,ST,Female,Vocational,Online,Gov Assistance Scheme - 646,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-11562,52,Non-Binary,California,Urban,988.77,Unemployed,Secondary,5,Yes,12-10-25,28,Under Review,500,Central,All India,Housing,Direct Benefit Transfer,24000,8,79,300000,SC,Female,School,Online+Offline,Gov Assistance Scheme - 261,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-11037,69,Female,Florida,Urban,2456.26,Self-Employed,Primary,3,Yes,03-05-25,68,Under Review,1200,State,Florida,Education & Learning,Direct Benefit Transfer,72000,21,76,500000,ST,Any,PG,Online,Gov Assistance Scheme - 798,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-11042,22,Non-Binary,New York,Rural,3086.52,Self-Employed,Tertiary,8,Yes,27-03-25,35,Pending,500,State,New York,Social Welfare,Subsidy,14000,16,72,800000,EWS,Female,Higher Secondary,Online,Gov Assistance Scheme - 973,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-11479,60,Female,New York,Urban,4570.2,Student,Secondary,8,No,15-05-25,7,Approved,2500,State,New York,Agriculture,Scholarship,38000,19,44,300000,General,Female,PhD,Online,Gov Assistance Scheme - 326,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-10889,26,Female,Texas,Urban,1985.77,Self-Employed,Secondary,3,Yes,27-11-25,26,Under Review,0,State,Texas,Skill Development,Scholarship,58000,24,60,300000,Any,Any,School,Online,Gov Assistance Scheme - 877,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-10773,29,Non-Binary,California,Urban,4778.42,Unemployed,Primary,8,Yes,07-02-25,23,Rejected,0,Central,All India,Housing,Direct Benefit Transfer,68000,7,35,500000,EWS,Non-Binary,UG,Online,Gov Assistance Scheme - 763,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-10658,47,Male,New York,Urban,4334.28,Public Sector,Tertiary,4,Yes,20-10-25,89,Approved,500,State,New York,Education & Learning,Grant,53000,18,62,500000,Any,Female,PG,Online,Gov Assistance Scheme - 864,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-11330,23,Non-Binary,New York,Rural,1001.2,Private Sector,Primary,3,No,16-12-25,30,Pending,1200,State,New York,Healthcare,Scholarship,17000,21,65,500000,SC,Non-Binary,School,Online+Offline,Gov Assistance Scheme - 825,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
